#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.75  0.13  0.59482 -1.165 3.614  4.781  9.50  0.000 0.00 17.183 20.383 19.305 18.079 17.252 16.513 15.599 14.911 14.798  0.595 
 1   8.75  0.19  1.05078 -0.065 3.751  4.473 10.90  0.000 0.00 15.833 16.931 16.651 15.908 15.491 15.150 14.701 14.346 14.309  1.051 
 1   8.75  0.21  2.73275  1.924 3.681  2.622 10.10  0.000 0.00 10.059 12.369 11.478 10.377  9.805  9.342  8.662  8.140  8.070  2.733 
 1   8.75  0.31  0.63575 -1.071 3.623  4.749  8.00  0.000 0.00 15.447 18.618 17.508 16.295 15.489 14.776 13.879 13.183 13.080  0.636 
 1   8.75  0.31  1.13966  0.115 3.771  4.411  8.80  0.000 0.00 13.281 14.175 13.976 13.307 12.930 12.622 12.235 11.933 11.902  1.140 
 1   8.77 -0.23  0.75662 -0.650 3.687  4.661  9.40  0.000 0.00 15.794 17.696 17.072 16.120 15.556 15.095 14.441 13.898 13.833  0.757 
 1   8.77 -0.03  1.20587  0.295 3.800  4.370  9.90  0.000 0.00 13.933 14.434 14.451 13.941 13.633 13.365 13.043 12.786 12.763  1.206 
 1   8.77  0.01  0.81289 -0.577 3.687  4.619 10.50  0.000 0.00 16.714 18.718 18.019 17.042 16.466 16.007 15.352 14.810 14.747  0.813 
 1   8.77  0.05  0.57479 -1.204 3.612  4.795  8.80  0.000 0.00 16.579 19.782 18.712 17.476 16.643 15.906 14.993 14.311 14.193  0.575 
 1   8.77  0.17  0.75480 -0.762 3.658  4.657  7.80  0.000 0.00 14.475 17.057 16.101 14.997 14.314 13.779 13.020 12.395 12.317  0.755 
 1   8.77  0.23  0.75890 -0.754 3.658  4.651 10.00  0.000 0.00 16.656 19.270 18.293 17.182 16.495 15.958 15.197 14.574 14.496  0.759 
 1   8.77  0.23  1.56581  0.785 3.846  4.178 10.10  0.000 0.00 12.909 13.235 13.223 12.856 12.633 12.449 12.243 12.088 12.072  1.566 
 1   8.79 -0.23  0.68465 -0.844 3.660  4.702 10.70  0.000 0.00 17.580 19.955 19.133 18.075 17.417 16.893 16.144 15.521 15.439  0.685 
 1   8.79  0.03  2.73939  2.638 3.633  1.717 11.10  0.000 0.00  9.275 12.613 11.245  9.911  9.214  8.632  7.756  7.064  6.964  2.739 
